station_abbr,station_name,station_canton,station_wigos_id,station_type_de,station_type_fr,station_type_it,station_type_en,station_dataowner,station_data_since,station_height_masl,station_height_barometer_masl,station_coordinates_lv95_east,station_coordinates_lv95_north,station_coordinates_wgs84_lat,station_coordinates_wgs84_lon,station_exposition_de,station_exposition_fr,station_exposition_it,station_exposition_en,station_url_de,station_url_fr,station_url_it,station_url_en,station_id,nb_jours_observes,cumul_septembre_2026_mm,moyenne_quotidienne_mm
EGR,Eggersriet,SG,0-756-0-EGR,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.06.1974,770,NA,2753061,1256197,47.438753,9.467903,Muldenlage,Dépression,Depressione,basin,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=EGR,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=EGR,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=EGR,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=EGR,EGR,21,47.9,2.28
ENT,Entlebuch,LU,0-756-0-ENT,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.08.1882,768,NA,2647936,1204165,46.986814,8.068747,Westhang,Versant ouest,Versante occidentale,western oriented slope,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=ENT,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ENT,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=ENT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ENT,ENT,21,32.6,1.55
ESZ,Eschenz,TG,0-756-0-ESZ,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.06.1879,414,NA,2707844,1278214,47.645703,8.873914,Ebene,Plaine,Pianura,plain,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=ESZ,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=ESZ,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=ESZ,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=ESZ,ESZ,21,22.4,1.07
FAI,Faido,TI,0-756-0-FAI,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.01.1961,747,NA,2704950,1148266,46.477486,8.805294,Südwesthang,Versant sud-ouest,Versante sud-occidentale,south-western oriented slope,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=FAI,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FAI,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=FAI,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FAI,FAI,21,60.6,2.89
FIO,Fionnay,VS,0-756-0-FIO,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,"MeteoSchweiz, SLF",01.01.1972,1500,NA,2589959,1097765,46.03135,7.308961,Muldenlage,Dépression,Depressione,basin,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=FIO,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FIO,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=FIO,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FIO,FIO,21,31.6,1.5
FIT,Fieschertal,VS,0-756-0-FIT,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.01.1967,1203,NA,2654028,1142172,46.428711,8.141528,Tal,Vallée,Valle,valley,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=FIT,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FIT,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=FIT,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FIT,FIT,21,12.9,0.61
FLW,Flawil,SG,0-756-0-FLW,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.01.1900,571,NA,2733137,1252978,47.414142,9.202886,Ebene,Plaine,Pianura,plain,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=FLW,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=FLW,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=FLW,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=FLW,FLW,21,31.1,1.48
GAD,Gadmen,BE,0-756-0-GAD,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,"Kt. BE, SLF",28.07.1911,1190,NA,2669741,1176590,46.73685,8.351136,Tal,Vallée,Valle,valley,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=GAD,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GAD,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=GAD,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GAD,GAD,21,33.6,1.6
GOA,Göscheneralp,UR,0-756-0-GOA,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,MeteoSchweiz,01.01.1969,1745,NA,2681253,1166804,46.647525,8.500025,Tal,Vallée,Valle,valley,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=GOA,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GOA,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=GOA,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GOA,GOA,21,24.9,1.19
GSG,"Gsteig, Gstaad",BE,0-756-0-GSG,Automatische Niederschlagsstationen - Messwerte,Stations pluviométriques automatiques - Valeurs mesurées,Stazioni pluviometriche automatiche - Valori misurati,Automatic precipitation stations - Measurement values,"MeteoSchweiz, SLF",01.01.1901,1196,NA,2587686,1136142,46.376533,7.278592,Tal,Vallée,Valle,valley,https://www.meteoschweiz.admin.ch/service-und-publikationen/applikationen/messwerte-und-messnetze.html#param=messnetz-automatisch&station=GSG,https://www.meteosuisse.admin.ch/services-et-publications/applications/valeurs-mesurees-et-reseaux-de-mesure.html#param=messnetz-automatisch&station=GSG,https://www.meteosvizzera.admin.ch/servizi-e-pubblicazioni/applicazioni/valori-attuali-e-reti-di-misura.html#param=messnetz-automatisch&station=GSG,https://www.meteoswiss.admin.ch/services-and-publications/applications/measurement-values-and-measuring-networks.html#param=messnetz-automatisch&station=GSG,GSG,21,53,2.52
