mois_num,nom_mois,precip_suisse_2025,precip_suisse_2026,diff_mm,variation_pct,tendance
1,janvier,117.19,47.84,-69.35,-59.2,Moins pluvieux en 2026
2,février,28.18,112.31,84.13,298.5,Plus pluvieux en 2026
3,mars,38.08,64.78,26.7,70.1,Plus pluvieux en 2026
4,avril,74.38,18.67,-55.71,-74.9,Moins pluvieux en 2026
5,mai,119.78,72.7,-47.08,-39.3,Moins pluvieux en 2026
6,juin,94.69,80.78,-13.91,-14.7,Moins pluvieux en 2026
7,juillet,163.57,61.62,-101.95,-62.3,Moins pluvieux en 2026
8,août,127.53,105.64,-21.89,-17.2,Moins pluvieux en 2026
9,septembre,135.75,29.31,-106.44,-78.4,Moins pluvieux en 2026
